drksId,indication.type0,indication.key0,indication.value0,indication.type1,indication.key1,indication.value1,indication.type2,indication.key2,indication.value2,indication.type3,indication.key3,indication.value3,indication.type4,indication.key4,indication.value4
DRKS00004034,Free text,NA,Renal Cell Carcinoma,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004109,Free text,NA,Metastatic Renal Cell Carcinoma,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004064,Free text,NA,Metastatic Renal Cell Carcinoma,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003820,Free text,NA,Myelodysplastic Syndrome (MDS),ICD10,D46,Myelodysplastic syndromes,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003732,Free text,NA,Glioblastoma,ICD10,C71,Malignant neoplasm of brain,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003802,Free text,NA,Myelodysplastic Syndromes,ICD10,D46,Myelodysplastic syndromes,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004111,Free text,NA,Metastatic Renal Cell Carcinoma (mRCC),ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004450,ICD10,C00-D48,Neoplasms,Free text,NA,childhood cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004454,ICD10,I50.9,"Heart failure, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004103,Free text,NA,Bladder Cancer,ICD10,C67,Malignant neoplasm of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004375,Free text,NA,Consumption of licit and illicit drugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003874,Free text,NA,Endometrial Cancer,ICD10,C54,Malignant neoplasm of corpus uteri,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003838,Free text,NA,"Leukemia, Myeloid, Acute",ICD10,C92.0,Acute myeloid leukaemia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003667,Free text,NA,"Carcinoma, Hepatocellular",ICD10,C22.0,Malignant neoplasm: Liver cell carcinoma,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003744,Free text,NA,Advanced Gastric Cancer,Free text,NA,Gastro-esophageal Junction Cancer,ICD10,C16,Malignant neoplasm of stomach,NA,NA,NA,NA,NA,NA
DRKS00003841,Free text,NA,Chronic Myelogenous Leukemia,ICD10,C92.1,"Chronic myeloid leukaemia [CML], BCR/ABL-positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000008,ICD10,F32,Depressive episode,ICD10,F33,Recurrent depressive disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000009,ICD10,J98.6,Disorders of diaphragm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000010,ICD10,E66.0,Obesity due to excess calories,Free text,NA,Diet,Free text,NA,overweight,NA,NA,NA,NA,NA,NA
DRKS00000011,ICD10,H44.5,Degenerated conditions of globe,Free text,NA,CellCept,Other,NA,5-125: null,NA,NA,NA,NA,NA,NA
DRKS00000012,ICD10,C22.0,Malignant neoplasm: Liver cell carcinoma,Free text,NA,Liver Neoplasms,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000024,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000027,Free text,NA,hepatic blood flow,Free text,NA,Hot compresses,ICD10,K70-K77,Diseases of liver,NA,NA,NA,NA,NA,NA
DRKS00000029,ICD10,J44,Other chronic obstructive pulmonary disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003749,Free text,NA,Multiple Myeloma,ICD10,C90.0,Multiple myeloma,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000031,ICD10,J44,Other chronic obstructive pulmonary disease,Free text,NA,non-invasive positive pressure ventilation NPPV,Free text,NA,COPD,NA,NA,NA,NA,NA,NA
DRKS00000014,Other,NA,E02.870.500: Kidney Transplantation,ICD10,Z94.0,Kidney transplant status,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003949,Free text,NA,Ovarian Cancer,ICD10,C56,Malignant neoplasm of ovary,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004338,Free text,NA,hematologic malagnancies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004583,ICD10,E66.9,"Obesity, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003668,Free text,NA,Advanced Non-small Cell Lung Cancer,Free text,NA,Transitional Cell Carcinoma,Free text,NA,Soft Tissue Sarcoma,Free text,NA,Gastric/Esophageal Adenocarcinoma,Free text,NA,Pancreatic Cancer Including Ampulla of Vater
DRKS00003835,Free text,NA,Cytomegalovirus,ICD10,B25,Cytomegaloviral disease,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003953,Free text,NA,Ovarian Cancer,ICD10,C56,Malignant neoplasm of ovary,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003641,Free text,NA,Breast Cancer,ICD10,C50,Malignant neoplasm of breast,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003644,Free text,NA,Breast Neoplasms,ICD10,C50,Malignant neoplasm of breast,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003742,Free text,NA,"Leukemia, Myeloid, Acute",ICD10,C92.0,Acute myeloid leukaemia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003746,Free text,NA,Myelodysplastic Syndromes,ICD10,D46,Myelodysplastic syndromes,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003784,Free text,NA,Acute Lymphoid Leukemia,ICD10,C91.0,Acute lymphoblastic leukaemia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003853,Free text,NA,Patients with benign uterine conditions which require laparoscopic assisted vaginal hysterectomy,ICD10,D25,Leiomyoma of uterus,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003884,Free text,NA,Renal Cell Carcinoma,ICD10,C65,Malignant neoplasm of renal pelvis,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA
DRKS00003800,Free text,NA,Thrombosis,ICD10,I80,Phlebitis and thrombophlebitis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003765,Free text,NA,Non-Small Cell Lung Cancer,ICD10,C34,Malignant neoplasm of bronchus and lung,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003764,Free text,NA,"Leukemia, Myeloid",ICD10,C92.1,"Chronic myeloid leukaemia [CML], BCR/ABL-positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003821,Free text,NA,Non Small Cell Lung Cancer (NSCLC),ICD10,C34,Malignant neoplasm of bronchus and lung,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003885,Free text,NA,Prostate Cancer,Free text,NA,Ovarian Cancer,ICD10,C61,Malignant neoplasm of prostate,ICD10,C56,Malignant neoplasm of ovary,NA,NA,NA
DRKS00003882,Free text,NA,Prostatic Neoplasms,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003891,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003886,Free text,NA,Renal Cell Carcinoma,ICD10,C65,Malignant neoplasm of renal pelvis,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA
DRKS00003889,Free text,NA,Overactive Bladder,Free text,NA,Detrusor Overactivity,ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA
DRKS00003793,Free text,NA,Diffuse Large B-cell Lymphoma,ICD10,C83.3,Diffuse large B-cell lymphoma,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003881,Free text,NA,Prostatic Neoplasms,Free text,NA,Neoplasm Metastasis,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA
DRKS00003798,Free text,NA,"Lymphoblastic Leukemia, Acute",Free text,NA,"Lymphoma, Non-Hodgkin",ICD10,C91.0,Acute lymphoblastic leukaemia,NA,NA,NA,NA,NA,NA
DRKS00003856,Free text,NA,parenting problems in parents with children with diabetes type 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003788,Free text,NA,Brain and Central Nervous System Tumors,Free text,NA,Long-term Effects Secondary to Cancer Therapy in Children,Free text,NA,Perioperative/Postoperative Complications,Free text,NA,Psychosocial Effects of Cancer and Its Treatment,Free text,NA,Weight Changes
DRKS00003792,Free text,NA,Leukemia,ICD10,C91.0,Acute lymphoblastic leukaemia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003787,Free text,NA,Wilms Tumor,Free text,NA,Neuroblastoma,Free text,NA,Soft Tissue Sarcoma,Free text,NA,Acute Lymphoblastic Leukemia,ICD10,C91.0,Acute lymphoblastic leukaemia
DRKS00003822,Free text,NA,NSCLC,Free text,NA,Non Small Cell Lung Cancer,ICD10,C34,Malignant neoplasm of bronchus and lung,NA,NA,NA,NA,NA,NA
DRKS00003785,Free text,NA,Infantile Hemangioma,ICD10,D18.0,"Haemangioma, any site",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003799,Free text,NA,Ewing's Sarcoma Family of Tumors,ICD10,C40,Malignant neoplasm of bone and articular cartilage of limbs,ICD10,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,NA,NA,NA,NA,NA,NA
DRKS00003760,Free text,NA,Gastrointestinal Stromal Tumor (GIST),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000041,Free text,NA,Intraarticular Fracture of the Distal Radius,ICD10,S52.59,[generalization S52.5: Fracture of lower end of radius],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000071,Free text,NA,juvenile ankylosing spondylitis,ICD10,M08.1,Juvenile ankylosing spondylitis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000213,Free text,NA,Patients with coronary artery disease scheduled for CABG surgery,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000268,ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000296,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000360,ICD10,G70.0,Myasthenia gravis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000583,ICD10,L97,"Ulcer of lower limb, not elsewhere classified",ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000600,ICD10,C25.9,"Malignant neoplasm: Pancreas, unspecified",MedDRA,NA,10033576,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000858,ICD10,N18.8,Other chronic renal failure,ICD10,Z94.0,Kidney transplant status,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003133,ICD10,E11,Non-insulin-dependent diabetes mellitus,ICD10,F00,Dementia in Alzheimer's disease,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003217,ICD10,J44.9,"Chronic obstructive pulmonary disease, unspecified",ICD10,J45,Asthma,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004744,ICD10,C25,Malignant neoplasm of pancreas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000579,ICD10,I74.3,Embolism and thrombosis of arteries of lower extremities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000102,ICD10,P21,Birth asphyxia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000086,MedDRA,NA,10009137: Chronic sinusitis,ICD10,J32,Chronic sinusitis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000157,ICD10,P07.3,Other preterm infants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000552,ICD10,M17.9,"Gonarthrosis, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000787,ICD10,N40,Hyperplasia of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003397,ICD10,C67,Malignant neoplasm of bladder,Free text,NA,bladder cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003407,ICD10,E88.9,"Metabolic disorder, unspecified",ICD10,N46,Male infertility,ICD10,E66,Obesity,Free text,NA,Metabolic Syndrom,NA,NA,NA
DRKS00003514,ICD10,K74.6,Other and unspecified cirrhosis of liver,ICD10,K72.0,Acute and subacute hepatic failure,ICD10,T86.40,[generalization T86.4: Liver transplant failure and rejection],ICD10,T86.41,[generalization T86.4: Liver transplant failure and rejection],NA,NA,NA
DRKS00004017,Free text,NA,Bladder Cancer,ICD10,C67,Malignant neoplasm of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004349,ICD10,E11,Non-insulin-dependent diabetes mellitus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004874,Free text,NA,angulated distal forearm fracture,ICD10,S52,Fracture of forearm,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000181,ICD10,A41.9,"Septicaemia, unspecified",ICD10,R57,"Shock, not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004048,Free text,NA,Prostatic Neoplasms,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000084,Free text,NA,antibiotic-associated diarrhoea,ICD10,A04.7,Enterocolitis due to Clostridium difficile,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000721,ICD10,M81,Osteoporosis without pathological fracture,ICD10,M80,Osteoporosis with pathological fracture,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003246,ICD10,H35.8,Other specified retinal disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003498,Free text,NA,Iatrogenic subcutaneous abdominal wound healing disorder,ICD10,S31.1,Open wound of abdominal wall,ICD10,T89.03,NA,NA,NA,NA,NA,NA,NA
DRKS00003851,ICD10,L12.0,Bullous pemphigoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004009,Free text,NA,Bladder Neoplasms,ICD10,C67,Malignant neoplasm of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004909,Free text,NA,"cancer pain, opioid specific side effects",ICD10,T88.7,Unspecified adverse effect of drug or medicament,ICD10,R52.9,"Pain, unspecified",NA,NA,NA,NA,NA,NA
DRKS00004915,Free text,NA,"Acute Coronary Syndrome, i.e. STEMI or NSTE-ACS",ICD10,I21,Acute myocardial infarction,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005346,Other,NA,F20.- schizophrenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005183,ICD10,K58,Irritable bowel syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004154,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004038,Free text,NA,Overactive Bladder,ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005123,Free text,NA,Anastomotic Leakage after colorectal surgery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004071,Free text,NA,Biliary Tract Cancer,ICD10,C24.9,"Malignant neoplasm: Biliary tract, unspecified",ICD10,C23,Malignant neoplasm of gallbladder,NA,NA,NA,NA,NA,NA
DRKS00000580,MedDRA,NA,"10000886, akute myeloische Leukämie, acute myeloid leukemia",ICD10,C92.0,Acute myeloid leukaemia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004615,ICD10,N97.0,Female infertility associated with anovulation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005476,ICD10,C71,Malignant neoplasm of brain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000287,ICD10,F32.0,Mild depressive episode,ICD10,F32.1,Moderate depressive episode,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003549,MedDRA,NA,10027475 (LLT): Metastatic breast cancer,ICD10,C50.9,"Malignant neoplasm: Breast, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004110,Free text,NA,Benign Prostatic Hyperplasia,Free text,NA,Enlarged Prostate,ICD10,N40,Hyperplasia of prostate,NA,NA,NA,NA,NA,NA
DRKS00005000,Free text,NA,Epidermolysis Bullosa,ICD10,L12.0,Bullous pemphigoid,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004078,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003619,Free text,NA,Locoregional Metastases in Malignant Melanoma Stages IIIB/C,ICD10,C43,Malignant melanoma of skin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004194,Free text,NA,Bullous Pemphigoid,ICD10,L12.0,Bullous pemphigoid,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005002,Free text,NA,Bullous Pemphigoid,ICD10,L12.0,Bullous pemphigoid,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003686,Free text,NA,Anaplastic Astrocytoma,Free text,NA,Glioblastoma,ICD10,C71,Malignant neoplasm of brain,NA,NA,NA,NA,NA,NA
DRKS00005165,Free text,NA,Chronic Myeloid Leukemia,ICD10,C92.1,Chronic myeloid leukaemia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005146,ICD10,G80.0,Spastic quadriplegic cerebral palsy,ICD10,J18.0,"Bronchopneumonia, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005443,ICD10,E14.30,[generalization E14.3: Unspecified diabetes mellitus; With ophthalmic complications],ICD10,H35.8,Other specified retinal disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004405,Free text,NA,prostate cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004128,Free text,NA,Benign Prostatic Hyperplasia,ICD10,N40,Hyperplasia of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003674,Free text,NA,Hepatocellular Carcinoma Non-resectable,Free text,NA,Hepatocellular Carcinoma Recurrent,Free text,NA,"Carcinoma, Hepatocellular",Free text,NA,Liver Diseases,Free text,NA,Neoplasms by Histologic Type
DRKS00004455,ICD10,C73,Malignant neoplasm of thyroid gland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004090,Free text,NA,Neurogenic Overactive Bladder,Free text,NA,Urinary Incontinence,Free text,NA,Detrusor Overactivity,ICD10,R32,Unspecified urinary incontinence,ICD10,N32.8,Other specified disorders of bladder
DRKS00003807,Free text,NA,"Carcinoma, Non-Small-Cell Lung",ICD10,C34,Malignant neoplasm of bronchus and lung,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003997,Free text,NA,Overactive Bladder,Free text,NA,Urinary Incontinence,ICD10,N32.8,Other specified disorders of bladder,ICD10,R32,Unspecified urinary incontinence,NA,NA,NA
DRKS00004099,Free text,NA,Bladder Cancer,ICD10,C67,Malignant neoplasm of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004117,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003817,Free text,NA,Mantle Cell Lymphoma,Free text,NA,Non-Hodgkin's Lymphoma,ICD10,C83.8,Other non-follicular lymphoma,NA,NA,NA,NA,NA,NA
DRKS00003697,ICD10,N80,Endometriosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003757,Free text,NA,Myelodysplastic Syndrome MDS,ICD10,D46,Myelodysplastic syndromes,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003639,Free text,NA,Breast Cancer,ICD10,C50,Malignant neoplasm of breast,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003880,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003883,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003747,Free text,NA,Myelodysplastic Syndromes,Free text,NA,Acute Myelogenous Leukemia,ICD10,D46,Myelodysplastic syndromes,ICD10,C92.0,Acute myeloid leukaemia,NA,NA,NA
DRKS00003773,Free text,NA,Myeloid Leukemia,Free text,NA,Lymphoblastic Leukemia,Free text,NA,Lymphoma,Free text,NA,Multiple Myeloma,Free text,NA,Myelodysplastic Syndrome
DRKS00000186,ICD10,Z46.3,Fitting and adjustment of dental prosthetic device,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000311,ICD10,J44,Other chronic obstructive pulmonary disease,Other,NA,OPS 5-32: null,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000109,ICD10,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000659,ICD10,M54.5,Low back pain,ICD10,M48.99,"[generalization M48.9: Spondylopathy, unspecified]",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004250,ICD10,M51.2,Other specified intervertebral disc displacement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004886,ICD10,I34.0,Mitral (valve) insufficiency,ICD10,R11,Nausea and vomiting,ICD10,F05.8,Other delirium,ICD10,I24,Other acute ischaemic heart diseases,NA,NA,NA
DRKS00000036,Free text,[---]*,tibial bone loss,ICD10,M86,Osteomyelitis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000043,ICD10,C81,Hodgkin's disease,ICD10,C82,Follicular [nodular] non-Hodgkin's lymphoma,ICD10,C83,Diffuse non-Hodgkin's lymphoma,ICD10,C84,Peripheral and cutaneous T-cell lymphomas,ICD10,C85,Other and unspecified types of non-Hodgkin's lymphoma
DRKS00000053,ICD10,F00,Dementia in Alzheimer's disease,ICD10,[---]*,[---]*,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000056,Free text,[---]*,Type 2 Diabetes,ICD10,E11,Non-insulin-dependent diabetes mellitus,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000058,ICD10,E11,Non-insulin-dependent diabetes mellitus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000060,MedDRA,[---]*,10054710: Postoperative hip pain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000068,ICD10,F60.31,[generalization F60.3: Emotionally unstable personality disorder],ICD10,F60.8,Other specific personality disorders,ICD10,F60.4,Histrionic personality disorder,ICD10,F60.2,Dissocial personality disorder,NA,NA,NA
DRKS00000077,Free text,[---]*,"Presbyopia, Myopia, Hyperopia, Astigmatism, and combination of the before mentioned",ICD10,H52.4,Presbyopia,ICD10,H52.1,Myopia,ICD10,H52.2,Astigmatism,ICD10,H52.0,Hypermetropia
DRKS00000081,Free text,[---]*,Anorectic eating disorder,ICD10,F50.0,Anorexia nervosa,ICD10,F50.1,Atypical anorexia nervosa,NA,NA,NA,NA,NA,NA
DRKS00000091,Free text,[---]*,expected or proved pathologie of the small bowel,ICD10,C17,Malignant neoplasm of small intestine,ICD10,K50.0,Crohn's disease of small intestine,ICD10,K55.8,Other vascular disorders of intestine,ICD10,D12.6,"Benign neoplasm: Colon, unspecified"
DRKS00000093,ICD10,H25.0,Senile incipient cataract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000098,ICD10,K85,Acute pancreatitis,Free text,[---]*,"pancreatic necrosis, pre-existent obstructiv cholestasis",ICD10,C25,Malignant neoplasm of pancreas,ICD10,K86.1,Other chronic pancreatitis,ICD10,C24.0,Malignant neoplasm: Extrahepatic bile duct
DRKS00000101,ICD10,F50.0,Anorexia nervosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000103,ICD10,F00,Dementia in Alzheimer's disease,ICD10,R45.3,Demoralization and apathy,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000104,Free text,[---]*,"Critically ill internal patients, who need parenteral nutrition during the first seven days of acute illness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000113,Free text,[---]*,intracranial aneurysms,ICD10,I67.10,"[generalization I67.1: Cerebral aneurysm, nonruptured]",ICD10,Q28.30,[generalization Q28.3: Other malformations of cerebral vessels],NA,NA,NA,NA,NA,NA
DRKS00000119,ICD10,C80,Malignant neoplasm without specification of site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000125,ICD10,I10,Essential (primary) hypertension,ICD10,I11,Hypertensive heart disease,ICD10,I12,Hypertensive renal disease,ICD10,I13,Hypertensive heart and renal disease,ICD10,I15,Secondary hypertension
DRKS00000128,Free text,[---]*,suspected or known small bowel disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000138,Free text,[---]*,"Fecal incontinence, grade I and above",ICD10,R15,Faecal incontinence,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000140,Free text,[---]*,"muscle atropy, bone resorption, deconditioning of the cardio vascular system, deconditioning of the balance ability, cartilage degeneration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000144,Other,[---]*,"C05.550.114.606.400: Hip coxarthrosis, osteoarthosis",ICD10,M16,Coxarthrosis [arthrosis of hip],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000148,ICD10,R10.4,Other and unspecified abdominal pain,ICD10,E74.3,Other disorders of intestinal carbohydrate absorption,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000149,Free text,[---]*,Provision of complete dentures,ICD10,Z46.3,Fitting and adjustment of dental prosthetic device,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000150,ICD10,M06.99,"[generalization M06.9: Rheumatoid arthritis, unspecified]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000159,Free text,[---]*,provision with partial denture for replacement of lost teeth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000169,Free text,[---]*,suspected or known small bowel disease,ICD10,C17,Malignant neoplasm of small intestine,ICD10,K50.0,Crohn's disease of small intestine,ICD10,K51.1,Ulcerative (chronic) ileocolitis,ICD10,K55,Vascular disorders of intestine
DRKS00000170,Free text,[---]*,suspected mid-GI-bleeding,ICD10,K92.2,"Gastrointestinal haemorrhage, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000173,Free text,[---]*,unspecific pain of the shoulder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
